#index average  sd
1 2.91457184    3.56559770
2 1.44454174    1.88438873
3 1.20375183    1.58949701
4 1.69529830    1.94308178
5 0.34163516    0.75878206
6 1.03434854    1.45535036
7 1.81160511    2.08805332
8 2.41512522    2.68265627
9 0.69903481    1.12292199
10 1.55190723    1.83424966
11 2.66965156    2.84764016
12 1.41025736    1.72731261
13 0.53745424    1.01599010
14 1.14193705    1.47116313
15 1.34337274    1.72238577
16 1.61163992    1.92773588
17 1.61217050    1.96287562
18 0.42296400    0.84739203
19 1.02413846    1.40955624
20 2.10739950    2.34248975
21 0.82615012    1.30964169
22 0.63149151    1.00341390
23 0.97128573    1.31563294
24 0.18501281    0.50905823
25 0.56423950    0.94691922
26 1.10949597    1.51091856
27 1.26012345    1.60060656
28 0.38643670    0.76567157
29 0.84168377    1.18974337
30 1.47703785    1.83610623
31 0.76722911    1.11814507
32 0.28400599    0.64377613
33 0.65009711    1.01742766
34 0.76219954    1.16616796
35 0.86791637    1.21305623
36 0.84263404    1.19023665
37 0.24095911    0.58460254
38 0.56869780    0.93353815
39 1.11805240    1.44296590
40 0.71875537    1.29219014
41 0.87632021    1.27418925
42 0.18507772    0.52317607
43 0.52829997    0.92999959
44 0.84040960    1.19030375
45 1.13248826    1.56913737
46 0.34109129    0.69794432
47 0.86140559    1.29072376
48 1.26662702    1.59648573
49 0.80451856    1.23909784
50 0.26432197    0.62047209
51 0.63861205    1.03919965
52 0.64501054    1.01853081
53 0.86700914    1.32274433
54 0.83303309    1.26200592
55 0.23625226    0.59639503
56 0.59541169    1.05493409
57 1.01301648    1.35641057
58 1.14256244    1.51562424
59 0.23361835    0.58369449
60 0.71338399    1.07537553
61 1.17321224    1.45030670
62 1.53443114    1.77053487
63 0.46418086    0.82893371
64 1.13742314    1.45137856
65 1.77042685    1.89912078
66 1.08797244    1.46880559
67 0.35956812    0.75287602
68 0.85651058    1.20038253
69 0.88879562    1.22510731
70 1.13597743    1.46909832
71 1.10097159    1.42856936
72 0.30423832    0.67372626
73 0.76247011    1.16761964
74 1.40704644    1.61587713
75 0.08149474    0.37436617
76 0.14289313    0.43919286
77 0.24258390    0.60402082
78 0.33564433    0.79229577
79 0.10305445    0.35818525
80 0.22804083    0.57570679
81 0.34992944    0.74504533
82 0.20343850    0.54548349
83 0.08161551    0.31998261
84 0.16892363    0.47721644
85 0.18508547    0.51018228
86 0.24315596    0.61059245
87 0.21987722    0.57165502
88 0.06018228    0.27018708
89 0.14700541    0.44346835
90 0.27870824    0.64364907
91 0.47244365    0.94877061
92 0.72763391    1.09626464
93 0.90616705    1.28545188
94 0.28289535    0.62721250
95 0.63242321    1.00000948
96 1.07021541    1.47683701
97 0.60448573    0.99021828
98 0.20911778    0.53890196
99 0.49445816    0.86027509
100 0.54504061    0.91477158
101 0.69743040    1.10398328
102 0.65304088    1.03217494
103 0.19362385    0.51796657
104 0.44544851    0.82592188
105 0.77791525    1.11956114
106 1.41521546    1.87569535
107 1.57322975    1.81656587
108 0.48676805    0.86523525
109 1.17413464    1.53956380
110 1.91478497    2.13254271
111 1.23441873    1.67635765
112 0.37316181    0.78538668
113 0.87710921    1.23234481
114 0.97020743    1.32003155
115 1.12778450    1.44090761
116 1.09682886    1.40117322
117 0.29862164    0.66830498
118 0.74956223    1.12030965
119 1.47025188    1.75193415
120 2.17998239    2.56930739
121 0.63141573    1.03093722
122 1.48443184    1.77442347
123 2.36972511    2.41556321
124 1.29843433    1.63989230
125 0.48836262    0.93773281
126 1.10471200    1.42686873
127 1.22513551    1.55880907
128 1.53174703    1.87150125
129 1.50329954    1.84067199
130 0.41052037    0.82332015
131 0.97333749    1.36572123
132 1.98566736    2.18120547
133 0.21270303    0.55632233
134 0.44984710    0.81386840
135 0.73629189    1.13784222
136 0.39141501    0.75579156
137 0.15521315    0.45239544
138 0.34594098    0.69591087
139 0.38086554    0.74138254
140 0.45435475    0.82265850
141 0.43367752    0.79777275
142 0.12749721    0.40272600
143 0.29350020    0.63366265
144 0.57180379    0.94313543
145 1.02985374    1.47128159
146 1.57294785    1.79309632
147 1.02933711    1.42961267
148 0.33567549    0.71691936
149 0.73321012    1.08890954
150 0.85230537    1.19519898
151 1.06102090    1.40953164
152 0.99748080    1.33366854
153 0.25234064    0.59183495
154 0.65254452    1.03240273
155 1.26433889    1.55214423
156 2.74776267    2.99258339
157 1.54928223    1.87746878
158 0.53828829    0.97738829
159 1.20107673    1.52745096
160 1.37633763    1.68341471
161 1.68213433    1.92032788
162 1.59700548    1.81525545
163 0.40991726    0.81142941
164 1.05387156    1.40104146
165 2.03574547    2.12683472
166 1.06832385    1.64875495
167 0.30997272    0.69105606
168 0.75188970    1.15935269
169 0.76612072    1.12888372
170 0.99802759    1.42054172
171 0.94605038    1.32551828
172 0.25261334    0.59978646
173 0.67160443    1.10057473
174 1.23189728    1.55602536
175 0.14233272    0.45191855
176 0.24611228    0.58420861
177 0.27956025    0.63900053
178 0.33326775    0.70974344
179 0.33611089    0.70846829
180 0.08684474    0.32617951
181 0.21432048    0.54259729
182 0.42294486    0.82761732
183 0.57358536    1.00580115
184 0.65953649    1.01767237
185 0.82437980    1.21333270
186 0.75831489    1.10914250
187 0.20734934    0.52387821
188 0.52368150    0.90646411
189 0.92505313    1.22131312
190 0.77056676    1.24089791
191 0.86778066    1.22248871
192 0.85817216    1.21578855
193 0.25099313    0.60001922
194 0.57075088    0.93966061
195 1.10355356    1.41817633
196 1.19777213    1.79026122
197 1.07634401    1.48901933
198 0.29580483    0.67463364
199 0.73876850    1.14825875
200 1.32957698    1.61524297
201 1.06525204    1.56071885
202 0.27888604    0.63929222
203 0.68266817    1.07885559
204 1.28367117    1.56133723
205 0.08664780    0.33946291
206 0.19837419    0.52490572
207 0.32837504    0.69069319
208 0.48735611    0.94280348
209 0.81283439    1.14588563
210 1.63548668    1.96727103
